date,year,open,high,low,close,volume
2017-01-01,2017,9.06,9.09,9.0,9.03,29093922
2017-01-02,2017,9.06,9.18,9.0,9.066,54794137
2017-01-03,2017,9.06,9.12,9.03,9.066,33548421
2017-01-04,2017,9.06,9.09,9.0,9.012,28533585
2017-01-05,2017,9.0,9.09,9.0,9.066,36790095
2017-01-08,2017,9.06,9.09,8.94,8.94,36859355
2017-01-09,2017,8.94,8.97,8.76,8.796,45604296
2017-01-10,2017,8.79,8.82,8.7,8.772,40152525
2017-01-11,2017,8.76,8.79,8.49,8.526,45873261
2017-01-12,2017,8.55,8.61,8.52,8.562,35972402
2017-01-15,2017,8.58,8.67,8.55,8.58,34768310
2017-01-16,2017,8.61,8.61,8.4,8.412,49481247
2017-01-17,2017,8.4,8.52,8.37,8.508,46788105
2017-01-18,2017,8.61,8.91,8.58,8.748,54094132
2017-01-19,2017,8.73,8.85,8.7,8.808,49046636
2017-01-22,2017,8.82,8.88,8.73,8.844,44604365
2017-01-23,2017,8.85,9.06,8.85,9.03,51158030
2017-01-24,2017,9.06,9.09,9.0,9.054,41061221
2017-01-25,2017,9.03,9.09,9.03,9.03,35356122
2017-01-26,2017,9.03,9.12,9.0,9.066,52901032
2017-01-29,2017,9.09,9.15,9.06,9.096,38426900
2017-01-30,2017,9.09,9.18,9.03,9.06,40164002
2017-01-31,2017,9.06,9.09,9.0,9.048,39498855
2017-02-01,2017,9.06,9.09,8.76,8.85,88831840
2017-02-02,2017,8.85,8.91,8.64,8.742,76671031
2017-02-05,2017,8.79,8.79,8.58,8.586,46709220
2017-02-06,2017,8.61,8.64,8.49,8.55,68639757
2017-02-07,2017,8.58,8.58,8.49,8.544,45752395
2017-02-08,2017,8.52,8.55,8.46,8.532,51898156
2017-02-09,2017,8.55,8.76,8.49,8.688,50325931
2017-02-12,2017,8.73,8.88,8.73,8.772,39627826
2017-02-13,2017,8.76,8.88,8.76,8.856,34205782
2017-02-14,2017,8.85,8.88,8.79,8.802,38365857
2017-02-15,2017,8.79,8.91,8.79,8.856,36376220
2017-02-16,2017,8.88,8.91,8.82,8.856,33339467
2017-02-19,2017,8.88,8.97,8.88,8.91,34776895
2017-02-20,2017,8.88,8.94,8.88,8.892,17629227
2017-02-21,2017,8.88,8.91,8.64,8.73,25505882
2017-02-22,2017,8.76,8.85,8.76,8.814,25762461
2017-02-23,2017,8.82,8.85,8.73,8.742,26232360
2017-02-26,2017,8.79,8.82,8.73,8.796,34557906
2017-02-27,2017,8.79,8.85,8.7,8.748,49597640
2017-02-28,2017,8.73,8.88,8.73,8.844,45693216
2017-03-01,2017,8.85,8.88,8.76,8.802,41679537
2017-03-02,2017,8.82,8.85,8.79,8.796,37823342
2017-03-05,2017,8.79,8.82,8.73,8.742,39437001
2017-03-06,2017,8.76,8.79,8.7,8.736,33105752
2017-03-07,2017,8.76,8.82,8.73,8.766,34405240
2017-03-08,2017,8.76,8.79,8.73,8.742,38761702
2017-03-09,2017,8.73,8.76,8.64,8.688,54298002
2017-03-12,2017,8.73,8.76,8.61,8.628,29476462
2017-03-13,2017,8.64,8.67,8.58,8.592,52001345
2017-03-14,2017,8.61,8.64,8.52,8.574,48710547
2017-03-15,2017,8.61,8.73,8.58,8.676,42128472
2017-03-16,2017,8.73,8.82,8.7,8.76,48061561
2017-03-19,2017,8.76,8.82,8.73,8.766,29382310
2017-03-20,2017,8.79,8.82,8.76,8.766,32809742
2017-03-21,2017,8.76,8.85,8.76,8.802,39024937
2017-03-22,2017,8.79,8.85,8.7,8.736,46879736
2017-03-23,2017,8.73,9.0,8.73,8.946,53210540
2017-03-26,2017,9.0,9.03,8.91,8.928,29998156
2017-03-27,2017,8.94,8.97,8.88,8.898,39791430
2017-03-28,2017,8.91,8.97,8.91,8.928,49071540
2017-03-29,2017,8.94,8.97,8.91,8.94,44848482
2017-03-30,2017,8.94,9.06,8.91,9.012,64295560
2017-04-02,2017,9.06,9.09,9.0,9.006,34089652
2017-04-03,2017,9.0,9.03,8.94,8.958,30808367
2017-04-04,2017,8.97,9.0,8.94,8.958,36531256
2017-04-05,2017,8.97,9.03,8.94,9.012,41922996
2017-04-06,2017,9.0,9.09,9.0,9.018,48687361
2017-04-09,2017,8.82,8.82,8.73,8.766,37116180
2017-04-10,2017,8.79,8.82,8.76,8.778,34716055
2017-04-11,2017,8.79,8.82,8.76,8.76,30179207
2017-04-12,2017,8.79,8.85,8.76,8.826,33400840
2017-04-13,2017,8.85,8.85,8.79,8.796,34523546
2017-04-16,2017,8.79,8.82,8.76,8.766,29195007
2017-04-17,2017,8.76,8.82,8.73,8.76,35852926
2017-04-18,2017,8.82,8.82,8.73,8.736,37840630
2017-04-19,2017,8.76,8.79,8.67,8.718,48078792
2017-04-20,2017,8.76,8.76,8.64,8.67,47091115
2017-04-23,2017,8.76,8.82,8.67,8.694,42817666
2017-04-24,2017,8.7,8.7,8.64,8.652,27703280
2017-04-25,2017,8.67,8.7,8.49,8.526,45879827
2017-04-26,2017,8.52,8.55,8.49,8.532,29408696
2017-04-27,2017,8.55,8.64,8.52,8.616,46497672
2017-04-30,2017,8.64,8.76,8.61,8.682,51477455
2017-05-01,2017,8.67,8.7,8.64,8.652,41033407
2017-05-02,2017,8.67,8.7,8.61,8.646,43074760
2017-05-03,2017,8.67,8.67,8.61,8.622,42507151
2017-05-04,2017,8.61,8.64,8.4,8.442,53474611
2017-05-07,2017,8.43,8.52,8.43,8.436,33095357
2017-05-08,2017,8.43,8.52,8.43,8.484,34296911
2017-05-09,2017,8.49,8.61,8.46,8.574,37825420
2017-05-10,2017,8.58,8.64,8.55,8.622,33843630
2017-05-11,2017,8.61,8.64,8.55,8.598,44617990
2017-05-14,2017,8.61,8.61,8.55,8.592,24946482
2017-05-15,2017,8.58,8.61,8.52,8.538,32334305
2017-05-16,2017,8.55,8.7,8.52,8.652,48572967
2017-05-17,2017,8.64,8.79,8.61,8.748,45307327
2017-05-18,2017,8.73,8.82,8.73,8.754,33739156
2017-05-21,2017,8.79,8.94,8.79,8.832,33788667
2017-05-22,2017,8.88,8.88,8.76,8.808,40930565
2017-05-23,2017,8.76,8.85,8.64,8.844,41704405
2017-05-24,2017,8.82,8.85,8.67,8.718,32858772
2017-05-25,2017,8.73,8.79,8.49,8.514,94951741
2017-05-28,2017,8.52,8.55,8.43,8.508,29558475
2017-05-29,2017,8.52,8.55,8.43,8.442,57567175
2017-05-30,2017,8.46,8.58,8.46,8.52,40203747
2017-05-31,2017,8.52,8.58,8.52,8.526,31761727
2017-06-01,2017,8.52,8.55,8.46,8.472,41068995
2017-06-04,2017,8.46,8.688,8.46,8.64,57501952
2017-06-05,2017,8.64,8.664,8.556,8.634,78364052
2017-06-06,2017,8.628,8.7,8.58,8.598,54548135
2017-06-07,2017,8.628,8.664,8.592,8.634,63527616
2017-06-08,2017,8.616,8.64,8.58,8.598,43923321
2017-06-11,2017,8.58,8.64,8.532,8.538,39818966
2017-06-12,2017,8.544,8.568,8.508,8.532,42088780
2017-06-13,2017,8.544,8.568,8.508,8.532,36052655
2017-06-14,2017,8.544,8.592,8.532,8.562,40525600
